ano_eleicao;uf;codigo_municipio;total_votos_mun;nep_votos;total_despesa;magnitude;capital;codigo_ibge;sigla_uf;nome_municipio;pop
2004;AC;1007;3675;6.054322308;13079;9;0;1200138;AC;Bujari;6641
2004;AC;1015;3311;7.775051117;4012;9;0;1200179;AC;Capixaba;6096
2004;AC;1023;4915;9.96433505;801;9;0;1200807;AC;Porto Acre;12116
2004;AC;1031;973;2.276048015;NA;9;0;1200435;AC;Santa Rosa do Purus;2729
2004;AC;1040;4180;5.523395495;10641;9;0;1200351;AC;Marechal Thaumaturgo;8362
2004;AC;1058;9346;4.513434212;59257;9;0;1200104;AC;Brasiléia;17944
2004;AC;1066;3161;5.693983033;25188;9;0;1200393;AC;Porto Walter;5189
2004;AC;1074;27911;8.646065029;218164;10;0;1200203;AC;Cruzeiro do Sul;73488
2004;AC;1082;4482;2.895713612;55467;9;0;1200427;AC;Rodrigues Alves;8540
2004;AC;1090;5737;4.600902646;79948;9;0;1200336;AC;Mâncio Lima;12097
2004;AC;1104;2034;4.3494345;22298;9;0;1200328;AC;Jordão;4529
2004;AC;1112;5272;6.159408072;23322;9;0;1200252;AC;Epitaciolândia;12137
2004;AC;1120;4918;6.91210803;NA;9;0;1200013;AC;Acrelândia;8695
2004;AC;1139;9387;4.148917945;18624;9;0;1200302;AC;Feijó;29480
2004;AC;1392;125255;10.28613451;190345;14;1;1200401;AC;Rio Branco;274555
2004;AC;1457;12987;5.855041066;2036;9;0;1200500;AC;Sena Madureira;31029
2004;AC;1473;11484;5.961729498;91867;9;0;1200609;AC;Tarauacá;26834
2004;AC;1490;6321;4.124966589;650;9;0;1200708;AC;Xapuri;12357
2004;AC;1511;7549;7.767503612;104307;9;0;1200385;AC;Plácido de Castro;16031
2004;AC;1538;8973;6.58105953;650;9;0;1200450;AC;Senador Guiomard;21174
2004;AC;1554;2987;4.651893543;3300;9;0;1200344;AC;Manoel Urbano;6905
2004;AC;1570;2754;2.900461732;10502;9;0;1200054;AC;Assis Brasil;3667
2004;AL;27006;5160;9.266751124;68;9;0;2706448;AL;Paripueira;8400
2004;AL;27014;8990;4.056234131;157715;9;0;2700102;AL;Água Branca;18815
2004;AL;27022;5084;4.136826269;73390;9;0;2706422;AL;Pariconha;10604
2004;AL;27030;8343;5.736749329;236141;9;0;2700201;AL;Anadia;18315
2004;AL;27049;6781;4.517619389;73519;9;0;2702553;AL;Estrela de Alagoas;16574
