ano_eleicao;uf;codigo_municipio;nome_municipio;total_votos_mun;total_despesa;magnitude;capital;codigo_ibge;pop;total_despesa_mil;total_despesa_milhao;nep_gastos;nep_votos
2004;AC;1007;BUJARI;3675;13079;9;0;1200138;6641;13.079;0.013079;2.854356506;6.054322308
2004;AC;1015;CAPIXABA;3311;4012;9;0;1200179;6096;4.012;0.004012;3.180337094;7.775051117
2004;AC;1023;PORTO ACRE;4915;801;9;0;1200807;12116;0.801;0.000801;1;9.96433505
2004;AC;1031;SANTA ROSA;973;NA;9;0;1200435;2729;NA;NA;NA;2.276048015
2004;AC;1040;MARECHAL THAUMATURGO;4180;10641;9;0;1200351;8362;10.641;0.010641;3.373622157;5.523395495
2004;AC;1058;BRASILEIA;9346;59257;9;0;1200104;17944;59.257;0.059257;3.156289538;4.513434212
2004;AC;1066;PORTO WALTER;3161;25188;9;0;1200393;5189;25.188;0.025188;1.561011299;5.693983033
2004;AC;1074;CRUZEIRO DO SUL;27911;218164;10;0;1200203;73488;218.164;0.218164;1.810129441;8.646065029
2004;AC;1082;RODRIGUES ALVES;4482;55467;9;0;1200427;8540;55.467;0.055467;1.883182155;2.895713612
2004;AC;1090;MANCIO LIMA;5737;79948;9;0;1200336;12097;79.948;0.079948;2.290188938;4.600902646
2004;AC;1104;JORDAO;2034;22298;9;0;1200328;4529;22.298;0.022298;3.315091717;4.3494345
2004;AC;1112;EPITACIOLANDIA;5272;23322;9;0;1200252;12137;23.322;0.023322;3.624141387;6.159408072
2004;AC;1120;ACRELANDIA;4918;NA;9;0;1200013;8695;NA;NA;NA;6.91210803
2004;AC;1139;FEIJO;9387;18624;9;0;1200302;29480;18.624;0.018624;3.642437188;4.148917945
2004;AC;1392;RIO BRANCO;125255;190345;14;1;1200401;274555;190.345;0.190345;5.343558822;10.28613451
2004;AC;1457;SENA MADUREIRA;12987;2036;9;0;1200500;31029;2.036;0.002036;1.321851953;5.855041066
2004;AC;1473;TARAUACA;11484;91867;9;0;1200609;26834;91.867;0.091867;4.975352718;5.961729498
2004;AC;1490;XAPURI;6321;650;9;0;1200708;12357;0.65;0.00065;1;4.124966589
2004;AC;1511;PLACIDO DE CASTRO;7549;104307;9;0;1200385;16031;104.307;0.104307;2.439464571;7.767503612
2004;AC;1538;SENADOR GUIOMARD;8973;650;9;0;1200450;21174;0.65;0.00065;1;6.58105953
2004;AC;1554;MANUEL URBANO;2987;3300;9;0;1200344;6905;3.3;0.0033;1;4.651893543
2004;AC;1570;ASSIS BRASIL;2754;10502;9;0;1200054;3667;10.502;0.010502;1.037824823;2.900461732
2004;AL;27006;PARIPUEIRA;5160;68;9;0;2706448;8400;0.068;6.80E-05;1;9.266751124
2004;AL;27014;AGUA BRANCA;8990;157715;9;0;2700102;18815;157.715;0.157715;2.247147211;4.056234131
2004;AL;27022;PARICONHA;5084;73390;9;0;2706422;10604;73.39;0.07339;1.120312611;4.136826269
2004;AL;27030;ANADIA;8343;236141;9;0;2700201;18315;236.141;0.236141;2.786683391;5.736749329
2004;AL;27049;ESTRELA DE ALAGOAS;6781;73519;9;0;2702553;16574;73.519;0.073519;2.536166433;4.517619389
2004;AL;27057;ARAPIRACA;76634;224799;13;0;2700300;193103;224.799;0.224799;3.798222232;8.086781541
2004;AL;27065;JEQUIA DA PRAIA;5559;7459;9;0;2703759;12897;7.459;0.007459;4.766776924;8.846997029
2004;AL;27073;ATALAIA;19027;14740;9;0;2700409;41165;14.74;0.01474;1.070138247;12.85785589
2004;AL;27081;CAMPESTRE;3091;97108;9;0;2701357;5367;97.108;0.097108;2.741100042;8.465971852
2004;AL;27090;BARRA DE SANTO ANTONIO;6013;8921;9;0;2700508;12561;8.921;0.008921;3.33571005;9.74036562
2004;AL;27111;BARRA DE SAO MIGUEL;3774;21977;9;0;2700607;6819;21.977;0.021977;3.535055042;8.419904043
2004;AL;27138;BATALHA;7202;160744;9;0;2700706;15343;160.744;0.160744;2.0457755;10.39873857
2004;AL;27154;BELEM;3270;36311;9;0;2700805;5919;36.311;0.036311;1.924056617;3.614820735
2004;AL;27170;BELO MONTE;3241;19383;9;0;2700904;6747;19.383;0.019383;2.606424744;7.804300356
2004;AL;27197;BOCA DA MATA;13362;85762;9;0;2701001;24855;85.762;0.085762;1.418717818;2.635275395
